,time_hm,size
754,849,11
755,850,10
756,851,11
757,852,13
758,853,9
759,854,10
760,855,22
761,856,12
762,857,8
763,858,2
764,859,12
765,860,27
766,861,14
767,862,27
768,863,7
769,864,15
770,865,21
771,866,19
772,867,32
773,868,9
774,869,14
775,870,23
776,871,38
777,872,25
778,874,9
779,875,29
780,876,21
781,877,29
782,878,9
783,879,12
784,880,31
785,881,17
786,882,15
787,883,11
788,884,6
789,885,16
790,886,14
791,887,7
792,888,12
793,889,12
794,890,20
795,891,12
796,892,14
797,893,28
798,894,9
799,895,16
800,896,21
801,897,7
802,898,7
803,899,4
804,900,18
805,901,28
806,902,35
807,903,16
808,904,10
809,905,29
810,906,19
811,907,15
812,908,13
813,909,20
814,910,14
815,911,24
816,912,31
817,913,9
818,914,13
819,915,10
820,916,14
821,917,14
822,918,9
823,919,21
824,920,12
825,921,23
826,922,17
827,923,6
828,924,4
829,925,6
830,926,19
831,927,16
832,928,13
833,929,24
834,930,14
835,931,19
836,932,39
837,933,15
838,934,3
839,935,12
840,936,12
841,937,20
842,938,8
843,939,9
844,940,20
845,941,19
846,942,18
847,943,5
848,944,16
849,945,9
850,946,22
851,947,9
852,948,9
853,949,18
854,950,15
855,951,5
856,952,20
857,953,14
858,954,15
859,955,6
860,956,19
861,957,15
862,958,19
863,959,26
864,960,10
865,961,9
866,962,13
867,963,14
868,964,4
869,965,10
870,966,13
871,967,11
872,968,5
873,969,11
874,970,9
875,971,15
876,972,9
877,973,10
878,974,8
879,975,8
880,976,10
881,977,16
882,978,5
883,979,8
884,980,11
885,981,19
886,982,14
887,983,3
888,984,4
889,985,5
890,986,30
891,987,31
892,988,14
893,989,3
894,990,11
895,991,22
896,992,13
897,993,13
898,994,29
899,995,10
900,996,12
901,997,13
902,998,27
903,999,10
904,1000,17
905,1001,11
906,1002,17
907,1003,17
908,1004,12
909,1005,16
910,1006,22
911,1007,20
912,1008,2
913,1009,10
914,1010,5
915,1011,12
916,1012,27
917,1013,26
918,1014,10
919,1015,7
920,1016,14
921,1017,14
922,1018,14
923,1019,13
924,1020,11
925,1021,14
926,1022,15
927,1023,8
928,1024,9
929,1025,8
930,1026,15
931,1027,10
932,1028,15
933,1029,14
934,1030,21
935,1031,12
936,1032,22
937,1033,7
938,1034,9
939,1036,9
940,1037,11
941,1038,10
942,1039,10
943,1040,12
944,1041,19
945,1042,12
946,1043,20
947,1044,8
948,1045,9
949,1046,6
950,1047,26
951,1048,5
952,1049,4
953,1050,19
954,1051,15
955,1052,14
956,1053,14
957,1054,22
958,1055,19
959,1056,12
960,1057,10
961,1058,11
962,1059,7
963,1060,12
964,1061,12
965,1062,10
966,1063,9
967,1064,9
968,1065,7
969,1066,10
970,1067,7
971,1068,11
972,1069,19
973,1070,8
974,1071,15
975,1072,10
976,1073,15
977,1074,17
978,1075,10
979,1076,8
980,1077,18
981,1078,6
982,1079,7
983,1080,12
984,1081,8
985,1082,11
986,1083,14
987,1084,10
988,1085,3
989,1086,18
990,1087,7
991,1088,7
992,1089,16
993,1090,9
994,1091,9
995,1092,12
996,1093,5
997,1094,8
998,1095,4
999,1096,5
1000,1097,7
1001,1098,7
1002,1099,2
1003,1100,6
1004,1101,6
1005,1102,13
1006,1103,10
1007,1104,4
1008,1105,4
1009,1106,16
1010,1107,2
1011,1108,9
1012,1109,11
1013,1110,7
1014,1111,4
1015,1112,7
1016,1113,3
1017,1114,4
1018,1115,3
1019,1116,8
1020,1117,8
1021,1118,8
1022,1119,18
1023,1120,2
1024,1121,6
1025,1122,4
1026,1123,8
1027,1124,6
1028,1125,10
1029,1126,10
1030,1127,10
1031,1128,21
1032,1129,5
1033,1130,2
1034,1131,17
1035,1132,3
1036,1133,3
1037,1134,5
1038,1135,2
1039,1136,8
1040,1137,9
1041,1138,4
1042,1139,10
1043,1140,3
1044,1141,7
1045,1142,6
1046,1143,4
1047,1144,5
1048,1145,4
1049,1146,15
1050,1147,8
1051,1148,15
1052,1149,3
1053,1150,4
1054,1151,10
1055,1152,58
1056,1153,4
1057,1154,9
1058,1155,3
1059,1156,5
1060,1157,3
1061,1158,7
1062,1159,3
1063,1160,4
1064,1161,4
1065,1162,3
1066,1163,4
1067,1164,6
1068,1165,6
1069,1166,4
1070,1167,2
1071,1168,5
1072,1169,17
1073,1170,3
1074,1171,5
1075,1172,3
1076,1173,15
1077,1174,2
1078,1175,8
1079,1176,8
1080,1177,7
1081,1178,3
1082,1179,2
1083,1180,7
1084,1181,2
1085,1182,1
1086,1183,3
1087,1185,5
1088,1186,4
1089,1187,5
1090,1188,5
1091,1189,3
1092,1190,7
1093,1191,2
1094,1192,3
1095,1193,1
1096,1194,4
1097,1195,7
1098,1196,2
1099,1197,2
1100,1198,4
1101,1199,2
1102,1200,3
1103,1201,3
1104,1202,4
1105,1203,9
1106,1204,2
1107,1205,4
1108,1206,2
1109,1207,2
1110,1208,3
1111,1210,3
1112,1211,2
1113,1212,1
1114,1213,6
1115,1215,2
1116,1216,3
1117,1217,3
1118,1218,3
1119,1220,5
1120,1221,1
1121,1222,6
1122,1223,5
1123,1224,2
1124,1225,2
1125,1226,1
1126,1227,1
1127,1228,6
1128,1230,3
1129,1232,5
1130,1233,4
1131,1235,3
1132,1236,4
1133,1237,4
1134,1238,2
1135,1240,1
1136,1241,6
1137,1242,3
1138,1243,1
1139,1244,2
1140,1245,3
1141,1246,2
1142,1247,1
1143,1248,2
1144,1249,4
1145,1250,4
1146,1251,1
1147,1253,4
1148,1254,1
1149,1256,2
1150,1257,1
1151,1258,1
1152,1259,1
1153,1260,10
1154,1261,1
1155,1262,6
1156,1263,6
1157,1264,4
1158,1265,1
1159,1266,2
1160,1267,2
1161,1268,2
1162,1269,3
1163,1270,3
1164,1272,2
1165,1273,4
1166,1275,2
1167,1276,2
1168,1277,5
1169,1278,5
1170,1281,3
1171,1282,1
1172,1283,3
1173,1284,2
1174,1285,2
1175,1286,7
1176,1287,7
1177,1288,3
1178,1289,3
1179,1290,4
1180,1291,2
1181,1292,6
1182,1293,7
1183,1294,5
1184,1295,8
1185,1296,2
1186,1297,2
1187,1298,6
1188,1300,3
1189,1301,1
1190,1302,2
1191,1303,2
1192,1304,1
1193,1305,3
1194,1306,1
1195,1307,3
1196,1308,3
1197,1309,1
1198,1310,2
1199,1311,3
1200,1313,2
1201,1314,1
1202,1315,3
1203,1316,1
1204,1318,4
1205,1321,3
1206,1322,2
1207,1323,3
1208,1325,5
1209,1326,2
1210,1327,2
1211,1328,7
1212,1329,1
1213,1330,4
1214,1331,4
1215,1332,1
1216,1333,4
1217,1334,1
1218,1335,7
1219,1336,3
1220,1337,2
1221,1338,4
1222,1339,1
1223,1340,3
1224,1341,1
1225,1343,2
1226,1344,1
1227,1345,1
1228,1347,1
1229,1348,1
1230,1350,2
1231,1352,1
1232,1353,2
1233,1354,3
1234,1355,3
1235,1356,3
1236,1357,1
1237,1358,4
1238,1360,1
1239,1361,3
1240,1362,1
1241,1363,2
1242,1364,1
1243,1365,1
1244,1366,3
1245,1367,1
1246,1370,2
1247,1371,5
1248,1372,1
1249,1373,1
1250,1374,2
1251,1375,4
1252,1376,4
1253,1378,2
1254,1380,1
1255,1381,1
1256,1383,4
1257,1385,1
1258,1386,3
1259,1387,1
1260,1388,1
1261,1389,1
1262,1390,2
1263,1391,4
1264,1392,2
1265,1393,2
1266,1395,1
1267,1396,1
1268,1397,2
1269,1398,1
1270,1400,3
1271,1401,1
1272,1403,2
1273,1404,1
1274,1405,2
1275,1408,2
1276,1409,4
1277,1410,2
1278,1411,2
1279,1413,1
1280,1415,1
1281,1416,2
1282,1418,2
1283,1420,3
1284,1421,1
1285,1422,1
1286,1423,1
1287,1425,1
1288,1426,3
1289,1427,2
1290,1428,2
1291,1429,4
1292,1431,1
1293,1434,2
1294,1435,1
1295,1438,1
1296,1439,2
